TicketKey,File
OPENJPA-1125,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCEnhancerAgent.java
OPENJPA-1129,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationPersistenceMetaDataParser.java
OPENJPA-113,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldMapping.java
OPENJPA-1132,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/MySQLDictionary.java
OPENJPA-1133,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/PostgresDictionary.java
OPENJPA-1135,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/XMLMetaDataParser.java
OPENJPA-1135,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/AnnotationPersistenceMappingParser.java
OPENJPA-1135,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XMLPersistenceMappingParser.java
OPENJPA-1135,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceMetaDataDefaults.java
OPENJPA-1135,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceMetaDataFactory.java
OPENJPA-1135,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataParser.java
OPENJPA-1141,openjpa-kernel/src/main/java/org/apache/openjpa/conf/Compatibility.java
OPENJPA-1141,openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataRepository.java
OPENJPA-1142,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/GenericResultObjectProvider.java
OPENJPA-1142,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java
OPENJPA-1142,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PessimisticLockManager.java
OPENJPA-1142,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SelectResultObjectProvider.java
OPENJPA-1142,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SQLExceptions.java
OPENJPA-115,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AbstractBrokerFactory.java
OPENJPA-1155,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl.java
OPENJPA-1158,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AbstractResult.java
OPENJPA-116,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/EntityManagerImpl.java
OPENJPA-1163,openjpa-kernel/src/main/java/org/apache/openjpa/conf/Compatibility.java
OPENJPA-1163,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachManager.java
OPENJPA-1163,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/SingleFieldManager.java
OPENJPA-1163,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/StateManagerImpl.java
OPENJPA-1163,openjpa-kernel/src/main/java/org/apache/openjpa/util/AbstractLRSProxyCollection.java
OPENJPA-1163,openjpa-kernel/src/main/java/org/apache/openjpa/util/AbstractLRSProxyMap.java
OPENJPA-1163,openjpa-kernel/src/main/java/org/apache/openjpa/util/CollectionChangeTrackerImpl.java
OPENJPA-1163,openjpa-kernel/src/main/java/org/apache/openjpa/util/MapChangeTrackerImpl.java
OPENJPA-1163,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyCollection.java
OPENJPA-1163,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyManager.java
OPENJPA-1163,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyManagerImpl.java
OPENJPA-1163,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyMap.java
OPENJPA-1165,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Unique.java
OPENJPA-1168,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/UUIDGenerator.java
OPENJPA-1174,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataParser.java
OPENJPA-118,openjpa-kernel/src/main/java/org/apache/openjpa/conf/AutoDetachValue.java
OPENJPA-118,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/StringListValue.java
OPENJPA-118,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/EntityManagerFactoryImpl.java
OPENJPA-1184,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java
OPENJPA-1185,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreQuery.java
OPENJPA-1185,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/AbstractVal.java
OPENJPA-1185,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CompareExpression.java
OPENJPA-1185,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ConstPath.java
OPENJPA-1185,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ContainsExpression.java
OPENJPA-1185,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCExpressionFactory.java
OPENJPA-1185,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Lit.java
OPENJPA-1185,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/NotContainsExpression.java
