Release,File,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,NSmells,NR,NAuth,LOC_added_sum,LOC_added_max,LOC_added_avg,LOC_deleted_sum,LOC_deleted_max,LOC_deleted_avg,Churn_sum,Churn_max,Churn_avg,ChgSetSize_max,ChgSetSize_avg,Buggy
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/AbstractVal.java,6,27,21,6,9,1,16,5,36,0.8888889,0.0,0.0,9,0,9,0,0,0,9,0,0,0,2,2,0,0,2,0,2,0,0,34,3,0,0,0,0,5,2,2,0,2,0,0,0,0,46,1024,0,0,6,2,103,61,17.166666666666668,25,14,4.166666666666667,128,61,21.333333333333332,928,284.0,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/SuperclassVersionStrategy.java,5,8,3,5,3,3,0,6,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,0,2,1,48,48,24.0,0,0,0.0,48,48,24.0,928,686.0,Yes
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/conf/SeqValue.java,2,4,2,2,1,2,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,1,2,1,0,1,0,0,0,0,40,1,0,0,4,1,90,46,22.5,44,41,11.0,134,87,33.5,928,668.5,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Divide.java,2,3,1,2,2,2,0,1,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,4,1,77,39,19.25,38,35,9.5,115,74,28.75,928,668.5,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/ValExpression.java,4,5,1,4,8,2,0,8,0,0.0,0.0,0.0,4,0,2,0,2,0,4,0,0,0,1,0,0,1,0,0,1,0,0,20,2,0,3,0,3,0,0,4,0,4,0,0,0,0,26,0,0,0,5,2,107,51,21.4,50,47,10.0,157,98,31.4,928,552.8,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ClobValueHandler.java,5,7,2,5,2,2,0,3,1,0.5,0.0,0.0,2,1,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,13,2,0,0,0,0,0,1,2,0,2,0,0,0,0,17,1,0,0,2,1,48,48,24.0,0,0,0.0,48,48,24.0,928,686.0,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Add.java,2,3,1,2,2,2,0,1,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,4,1,75,38,18.75,37,34,9.25,112,72,28.0,928,668.5,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/SequenceMapping.java,4,5,1,4,13,2,0,2,52,0.8846154,0.0,0.0,13,0,11,0,2,0,13,0,0,0,12,7,3,9,0,0,7,0,0,57,6,0,0,0,0,7,0,17,0,12,0,0,0,0,74,1,0,0,2,1,149,149,74.5,0,0,0.0,149,149,74.5,928,686.0,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/NotEqualExpression.java,2,3,1,2,5,3,0,1,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,3,0,2,0,0,0,0,0,0,0,0,0,19,0,0,0,4,1,76,39,19.0,38,34,9.5,114,73,28.5,928,668.5,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/ExpirationEvent.java,0,2,2,0,3,1,0,0,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,15,2,0,0,0,0,0,0,2,0,2,0,0,0,0,40,1,0,0,5,1,129,62,25.8,67,58,13.4,196,120,39.2,928,579.2,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/util/ObjectNotFoundException.java,6,10,4,6,4,6,0,6,4,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,2,17,1,0,0,0,0,2,0,1,0,1,0,0,0,0,35,1,0,0,5,1,108,54,21.6,56,50,11.2,164,104,32.8,928,551.0,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/util/InvalidStateException.java,3,15,12,3,3,6,1,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0,0,6,1,90,43,15.0,48,39,8.0,138,82,23.0,928,496.1666666666667,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/BlobValueHandler.java,5,7,2,5,2,2,0,3,1,0.5,0.0,0.0,2,1,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,13,2,0,0,0,0,0,1,2,0,2,0,0,0,0,17,1,0,0,2,1,48,48,24.0,0,0,0.0,48,48,24.0,928,686.0,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/PCleanState.java,2,3,1,2,13,2,0,2,78,0.0,0.0,0.0,13,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,42,12,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,5,2,166,83,33.2,84,78,16.8,250,161,50.0,928,540.0,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Sqrt.java,2,3,1,2,3,3,0,0,3,0.0,0.0,0.0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,2,1,41,41,20.5,0,0,0.0,41,41,20.5,928,686.0,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/FirebirdDictionary.java,5,6,1,5,4,3,0,4,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,1,0,0,10,0,3,1,0,1,0,0,0,43,1,0,0,2,1,58,58,29.0,0,0,0.0,58,58,29.0,928,686.0,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ConnectionInfo.java,3,4,1,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,3,0,0,0,0,25,1,0,0,2,1,32,32,16.0,0,0,0.0,32,32,16.0,928,686.0,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/PDeletedFlushedState.java,4,6,2,4,2,3,0,1,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,5,2,74,37,14.8,38,32,7.6,112,69,22.4,928,540.0,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/BindValueVariableExpression.java,3,4,1,3,3,2,0,1,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,1,0,0,1,0,1,0,0,0,0,23,0,0,0,4,1,88,44,22.0,44,40,11.0,132,84,33.0,928,668.5,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Avg.java,2,3,1,2,3,3,0,0,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,3,2,42,41,14.0,1,1,0.3333333333333333,43,41,14.333333333333334,928,466.0,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Multiply.java,2,3,1,2,2,2,0,1,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,4,1,77,39,19.25,38,35,9.5,115,74,28.75,928,668.5,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/ContainsKeyExpression.java,2,3,1,2,3,3,0,1,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,2,0,0,0,0,0,0,0,0,0,26,0,0,0,4,1,86,43,21.5,43,39,10.75,129,82,32.25,928,668.5,No
0.9.6,openjpa-lib/src/main/java/org/apache/openjpa/lib/rop/SoftRandomAccessResultList.java,3,4,1,3,2,4,0,0,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,4,1,21,10,5.25,20,14,5.0,41,24,10.25,928,605.25,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/CompareExpression.java,5,15,10,5,13,2,9,11,0,0.2,0.0,0.0,5,0,2,0,3,0,5,1,0,0,2,0,0,2,0,0,2,0,0,37,2,0,6,0,2,0,0,14,0,10,1,0,0,0,35,1024,0,0,5,2,153,75,30.6,71,68,14.2,224,143,44.8,928,552.8,No
0.9.6,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/JDBCFetchPlanImpl.java,7,9,2,7,14,2,0,12,0,0.071428575,0.0,0.0,14,0,13,0,1,0,14,0,0,0,1,0,0,1,0,0,0,0,0,52,13,0,0,0,0,0,0,1,0,1,0,0,0,0,39,1,0,0,3,3,110,110,36.666666666666664,5,4,1.6666666666666667,115,110,38.333333333333336,79,45.0,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/util/MetaDataException.java,3,13,10,3,5,6,0,2,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,0,6,1,97,45,16.166666666666668,45,41,7.5,142,86,23.666666666666668,928,496.1666666666667,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/SuperclassDiscriminatorStrategy.java,11,14,3,11,7,3,0,13,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,21,2,1,2,0,0,0,0,2,0,1,2,0,0,0,42,1,0,0,4,2,77,62,19.25,8,4,2.0,85,62,21.25,928,350.75,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InSubQExpression.java,9,10,1,9,5,2,0,8,0,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,2,0,0,41,1,0,0,0,0,1,4,6,0,6,0,0,1,0,46,0,0,0,5,2,126,79,25.2,36,21,7.2,162,79,32.4,928,335.6,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/EqualExpression.java,2,3,1,2,5,3,0,1,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,3,0,2,0,0,0,0,0,0,0,0,0,18,0,0,0,4,1,76,39,19.0,38,34,9.5,114,73,28.5,928,668.5,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/util/InternalException.java,2,18,16,2,7,5,0,1,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,6,1,109,49,18.166666666666668,48,45,8.0,157,94,26.166666666666668,928,496.1666666666667,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractValueHandler.java,5,14,9,5,6,1,9,0,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1025,0,0,3,2,60,58,20.0,2,2,0.6666666666666666,62,58,20.666666666666668,928,503.0,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCProductDerivation.java,4,4,0,4,4,2,0,4,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,1,0,0,2,0,0,0,0,1,0,0,0,35,1,0,0,8,3,76,50,9.5,28,10,3.5,104,50,13.0,928,191.5,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/util/LongId.java,2,6,4,2,11,2,0,3,0,0.0,0.0,0.0,8,0,6,0,2,0,8,0,0,0,1,0,0,1,0,0,1,0,1,29,4,0,3,0,5,0,3,2,1,1,0,0,0,0,23,17,0,0,4,1,122,62,30.5,60,59,15.0,182,121,45.5,928,668.5,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/TLoadedState.java,2,3,1,2,2,2,0,1,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,5,2,77,38,15.4,40,33,8.0,117,71,23.4,928,540.0,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Distinct.java,5,6,1,5,3,3,0,1,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,4,2,51,49,12.75,11,7,2.75,62,49,15.5,928,369.25,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/EDirtyState.java,3,4,1,3,14,2,0,5,91,0.0,0.0,0.0,14,0,1,0,0,13,14,0,0,0,0,0,0,0,0,0,0,0,0,46,12,0,0,0,0,1,0,0,0,0,0,0,0,0,54,0,0,0,5,2,176,88,35.2,89,83,17.8,265,171,53.0,928,540.0,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/BindKeyVariableExpression.java,3,4,1,3,3,2,0,1,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,1,0,0,1,0,1,0,0,0,0,24,0,0,0,4,1,88,44,22.0,44,40,11.0,132,84,33.0,928,668.5,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/HollowState.java,2,3,1,2,11,2,0,4,55,0.0,0.0,0.0,11,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,38,10,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,5,2,163,81,32.6,83,76,16.6,246,157,49.2,928,540.0,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/PNewDeletedState.java,2,3,1,2,14,2,0,4,91,0.0,0.0,0.0,14,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,48,14,0,0,0,0,4,0,0,0,0,0,0,0,0,47,0,0,0,5,2,180,90,36.0,91,85,18.2,271,175,54.2,928,540.0,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Max.java,2,3,1,2,3,3,0,0,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,3,2,42,41,14.0,1,1,0.3333333333333333,43,41,14.333333333333334,928,466.0,No
