Release,Class,NSmells
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JavaSQLTypes.java,17
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Joinable.java,6
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingDefaults.java,29
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingDefaultsImpl.java,46
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingInfo.java,182
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingRepository.java,106
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingStrategyInstaller.java,4
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingTool.java,98
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MetaDataPlusMappingFactory.java,8
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/NoneMappingDefaults.java,8
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/PropertiesReverseCustomizer.java,19
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/QueryResultMapping.java,44
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/RefreshStrategyInstaller.java,12
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/RelationId.java,1
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ReverseCustomizer.java,13
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ReverseMappingTool.java,203
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/RuntimeStrategyInstaller.java,5
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Strategy.java,12
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueHandler.java,7
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueMapping.java,41
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueMappingImpl.java,64
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueMappingInfo.java,23
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Version.java,18
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/VersionMappingInfo.java,3
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/VersionStrategy.java,6
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractDiscriminatorStrategy.java,1
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractFieldStrategy.java,7
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractStrategy.java,8
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractVersionStrategy.java,2
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/CharArrayStreamValueHandler.java,4
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/CharArrayValueHandler.java,1
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ClassNameDiscriminatorStrategy.java,7
