TicketKey,AVs
OPENJPA-424,1.0.0;1.0.1;1.0.2;1.1.0;1.0.3
OPENJPA-425,1.0.0;1.0.1;1.0.2;1.1.0;1.0.3
OPENJPA-427,1.0.0;1.0.1
OPENJPA-428,1.0.0;1.0.1;1.0.2;1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-429,1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-434,1.0.0;1.0.1;1.0.2;1.1.0;1.0.3
OPENJPA-437,1.0.0;1.0.1
OPENJPA-438,1.0.0;1.0.1;1.0.2;1.1.0;1.0.3
OPENJPA-439,0.9.6;0.9.7;1.0.0;1.0.1
OPENJPA-44,0.9.6;0.9.7;1.0.0;1.0.1;1.0.2;1.1.0;1.0.3
OPENJPA-440,1.0.0;1.0.1
OPENJPA-446,1.0.1
OPENJPA-452,1.0.1
OPENJPA-455,1.0.0;1.0.1
OPENJPA-457,0.9.7;1.0.0;1.0.1;1.0.2;1.1.0;1.0.3
OPENJPA-458,1.0.1;1.0.2;1.1.0
OPENJPA-459,1.0.0;1.0.1;1.0.2;1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3
OPENJPA-46,0.9.6
OPENJPA-462,0.9.7;1.0.0;1.0.1;1.0.2;1.1.0
OPENJPA-466,1.0.0;1.0.1;1.0.2;1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3
OPENJPA-470,0.9.6;0.9.7;1.0.0;1.0.1;1.0.2;1.1.0
OPENJPA-471,1.0.1
OPENJPA-472,1.0.1
OPENJPA-478,1.2.2
OPENJPA-48,0.9.6
OPENJPA-481,1.1.0;1.0.3
OPENJPA-484,1.0.1;1.0.2
OPENJPA-485,1.0.1;1.0.2;1.1.0;1.0.3
OPENJPA-489,1.0.0;1.0.1
OPENJPA-493,1.0.0;1.0.1;1.0.2;1.1.0;1.0.3;1.2.0
OPENJPA-494,1.0.0;1.0.1;1.0.2;1.1.0
OPENJPA-495,1.0.1;1.0.2;1.1.0
OPENJPA-497,1.0.1;1.0.2;1.1.0;1.0.3
OPENJPA-50,0.9.6
OPENJPA-504,1.0.1;1.0.2
OPENJPA-508,1.0.0;1.0.1
OPENJPA-509,1.0.1;1.0.2;1.1.0
OPENJPA-51,1.0.0;1.0.1;1.0.2;1.1.0
OPENJPA-511,1.0.1
OPENJPA-512,0.9.6;0.9.7;1.0.0;1.0.1;1.0.2
OPENJPA-516,1.0.0;1.0.1
OPENJPA-518,1.0.1;1.0.2
OPENJPA-524,1.0.2;1.1.0
OPENJPA-525,1.0.0;1.0.1;1.0.2;1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2
OPENJPA-526,1.0.0;1.0.1;1.0.2;1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-527,1.0.2;1.1.0
OPENJPA-528,1.0.2
OPENJPA-53,0.9.6
OPENJPA-533,1.0.0;1.0.1;1.0.2;1.1.0
OPENJPA-535,1.0.2
OPENJPA-536,1.0.2
OPENJPA-537,1.0.0;1.0.1;1.0.2
OPENJPA-54,0.9.6
OPENJPA-540,1.0.0;1.0.1;1.0.2
OPENJPA-542,1.0.0;1.0.1;1.0.2
OPENJPA-543,1.0.0;1.0.1;1.0.2
OPENJPA-547,1.0.2
OPENJPA-550,1.0.2;1.1.0;1.0.3
OPENJPA-552,1.0.2
OPENJPA-554,1.0.2
OPENJPA-557,1.0.2;1.1.0;1.0.3;1.2.0
OPENJPA-56,0.9.6
OPENJPA-565,1.0.2
OPENJPA-566,1.0.2;1.1.0
OPENJPA-567,1.0.2
OPENJPA-573,1.0.2;1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1
OPENJPA-574,1.1.0
OPENJPA-576,1.0.2
OPENJPA-580,1.0.1;1.0.2;1.1.0;1.0.3;1.2.0
OPENJPA-581,1.1.0
OPENJPA-586,1.1.0
OPENJPA-588,1.0.2
OPENJPA-589,1.0.2
OPENJPA-590,1.0.2
OPENJPA-594,1.0.1;1.0.2
OPENJPA-596,1.1.0
OPENJPA-60,0.9.6
OPENJPA-602,1.1.0
OPENJPA-605,1.0.2
OPENJPA-607,1.1.0
OPENJPA-61,0.9.6;0.9.7
OPENJPA-612,1.1.0
OPENJPA-614,1.1.0
OPENJPA-617,1.1.0
OPENJPA-618,1.1.0
OPENJPA-619,1.1.0;1.0.3
OPENJPA-62,0.9.6
OPENJPA-622,1.1.0
OPENJPA-625,1.1.0
OPENJPA-628,1.1.0;1.0.3
OPENJPA-630,1.0.2;1.1.0
OPENJPA-632,1.0.1;1.0.2;1.1.0
OPENJPA-640,1.0.2;1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-642,1.1.0
OPENJPA-645,1.1.0
OPENJPA-646,1.2.0
OPENJPA-647,1.1.0
OPENJPA-650,1.0.2;1.1.0;1.0.3;1.2.0
OPENJPA-654,1.1.0
OPENJPA-657,1.1.0
OPENJPA-659,1.1.0
OPENJPA-660,1.0.0;1.0.1;1.0.2;1.1.0;1.0.3
OPENJPA-662,1.1.0;1.0.3
OPENJPA-664,1.0.3
OPENJPA-665,1.0.3
OPENJPA-669,0.9.6;0.9.7;1.0.0;1.0.1;1.0.2;1.1.0;1.0.3
OPENJPA-674,1.0.3
OPENJPA-676,1.2.0;2.0.0-M1
OPENJPA-677,1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-678,1.1.0;1.0.3;1.2.0
OPENJPA-679,1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1
OPENJPA-680,1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-685,1.2.0
OPENJPA-692,1.2.0
OPENJPA-693,1.2.0
OPENJPA-695,1.2.0
OPENJPA-696,1.0.0;1.0.1;1.0.2;1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-698,1.2.0
OPENJPA-699,1.0.0;1.0.1;1.0.2;1.1.0;1.0.3;1.2.0
OPENJPA-705,1.2.0
OPENJPA-71,0.9.6
OPENJPA-710,1.0.0;1.0.1;1.0.2;1.1.0;1.0.3;1.2.0
OPENJPA-711,1.2.0
OPENJPA-713,1.0.3;1.2.0
OPENJPA-714,1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3
OPENJPA-715,1.0.0;1.0.1;1.0.2;1.1.0;1.0.3;1.2.0
OPENJPA-719,1.1.0;1.0.3;1.2.0
OPENJPA-724,1.2.0
OPENJPA-727,1.2.0
OPENJPA-731,1.2.0
OPENJPA-733,1.2.0
