Release,File,NR,NAuth,LOC_added_sum,LOC_added_max,LOC_added_avg,LOC_deleted_sum,LOC_deleted_max,LOC_deleted_avg,Churn_sum,Churn_max,Churn_avg,ChgSetSize_max,ChgSetSize_avg
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/PrimaryKey.java,2,1,82,82,41.0,0,0,0.0,82,82,41.0,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/ReferenceCounter.java,2,1,39,39,19.5,0,0,0.0,39,39,19.5,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Schema.java,3,2,262,259,87.33333333333333,3,3,1.0,265,259,88.33333333333333,928,472.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaFactory.java,2,1,39,39,19.5,0,0,0.0,39,39,19.5,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGenerator.java,4,2,953,943,238.25,19,17,4.75,972,943,243.0,928,374.25
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGroup.java,3,1,401,401,133.66666666666666,1,1,0.3333333333333333,402,401,134.0,928,464.6666666666667
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaParser.java,2,1,62,62,31.0,0,0,0.0,62,62,31.0,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaSerializer.java,2,1,78,78,39.0,0,0,0.0,78,78,39.0,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaTool.java,5,2,1535,1523,307.0,82,80,16.4,1617,1523,323.4,928,288.6
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Schemas.java,2,1,232,232,116.0,0,0,0.0,232,232,116.0,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Sequence.java,3,1,209,209,69.66666666666667,3,3,1.0,212,209,70.66666666666667,928,464.6666666666667
