Release,File,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,NSmells,NR,NAuth,LOC_added_sum,LOC_added_max,LOC_added_avg,LOC_deleted_sum,LOC_deleted_max,LOC_deleted_avg,Churn_sum,Churn_max,Churn_avg,ChgSetSize_max,ChgSetSize_avg,Buggy
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetObjectId.java,18,21,3,18,27,2,0,31,2,0.7058824,0.0,0.0,17,0,17,0,0,0,17,0,0,0,3,1,0,3,0,0,2,0,0,78,12,2,6,0,3,1,3,15,0,11,2,0,0,0,87,0,0,7,6,2,246,184,41.0,73,44,12.166666666666666,319,184,53.166666666666664,928,284.5,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/util/Proxies.java,8,30,22,8,15,1,0,10,21,0.96428573,0.0,0.0,7,7,7,0,0,0,7,0,0,0,4,4,3,1,0,0,4,0,0,136,4,0,7,0,0,1,3,4,0,4,1,3,0,0,106,1,0,29,4,1,498,251,124.5,248,241,62.0,746,492,186.5,928,668.5,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/event/TransactionEventManager.java,5,5,0,5,34,2,0,12,1,0.5,0.0,0.0,6,0,5,0,1,0,6,0,0,0,3,0,0,3,0,0,0,0,0,50,5,0,0,0,9,0,6,4,0,4,2,0,0,0,51,1,0,17,5,1,252,126,50.4,126,121,25.2,378,247,75.6,928,579.2,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/AndExpression.java,3,5,2,3,6,2,1,5,0,0.16666667,0.0,0.0,6,0,4,0,2,0,6,0,0,0,2,0,0,2,0,0,2,0,0,26,4,0,0,0,0,0,0,2,0,2,0,0,0,0,30,0,0,0,5,2,128,61,25.6,60,57,12.0,188,118,37.6,928,552.8,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/NativeJDBCSeq.java,18,19,1,18,46,2,0,52,173,0.8726707,0.0,0.0,23,3,20,2,1,0,21,0,0,0,14,4,3,11,0,0,3,0,3,172,12,0,9,7,1,15,7,55,0,37,5,0,0,0,176,1,2,22,4,2,379,369,94.75,15,13,3.75,394,369,98.5,928,350.25,Yes
0.9.6,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/CondVar.java,5,7,2,5,37,1,1,16,0,0.27272728,0.0,0.0,11,0,6,0,4,1,11,0,0,2,1,0,0,0,1,0,1,0,9,144,3,9,5,8,0,3,14,24,3,21,4,0,1,0,65,0,0,18,6,2,69,40,11.5,107,85,17.833333333333332,176,125,29.333333333333332,928,481.1666666666667,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/PrimitiveFieldStrategy.java,28,31,3,28,88,3,0,109,321,0.9358974,0.0,0.0,26,0,25,1,0,0,25,0,0,0,3,2,0,3,0,0,2,0,0,195,21,0,17,0,12,3,27,23,0,17,4,0,0,0,121,1,0,36,5,2,408,400,81.6,8,5,1.6,416,400,83.2,928,352.0,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DelegatingQueryCache.java,8,9,1,8,51,1,0,18,0,0.6666667,0.0,0.0,20,0,19,0,1,0,20,0,0,0,3,0,0,3,0,0,3,0,0,148,25,0,16,13,3,0,0,5,0,3,1,0,0,0,81,1,0,19,6,1,459,229,76.5,243,211,40.5,702,440,117.0,928,556.6666666666666,No
0.9.6,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/FetchPlanImpl.java,6,9,3,6,48,1,1,50,76,0.3181818,0.0,0.0,44,2,41,2,1,0,42,0,0,0,1,0,0,1,0,0,1,0,16,157,46,1,1,0,2,1,0,3,1,3,1,0,0,0,72,1,0,8,2,2,406,406,203.0,153,153,76.5,559,406,279.5,79,49.0,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Subtract.java,2,3,1,2,2,2,0,1,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,4,1,77,39,19.25,38,35,9.5,115,74,28.75,928,668.5,No
